"ensembl_gene_id"	"hgnc_symbol"	"chromosome_name"	"start_position"	"end_position"	"strand"	"gene_biotype"	"401_Inp"	"567_Elu"	"401_Sup"	"401_Elu"	"624_Elu"
"ENSG00000000003"	"TSPAN6"	"X"	99883667	99894988	-1	"protein_coding"	400.637297464003	434.703953433907	411.852849557315	432.736398850099	526.914334754084
"ENSG00000000419"	"DPM1"	"20"	49551404	49575092	-1	"protein_coding"	529.935868531773	625.235516283713	283.345148239036	499.672454002218	546.250640616619
"ENSG00000000457"	"SCYL3"	"1"	169818772	169863408	-1	"protein_coding"	209.678008282263	252.219330200684	107.861948627139	209.501836401399	229.135224471042
"ENSG00000000460"	"C1orf112"	"1"	169631245	169823221	1	"protein_coding"	180.740075188824	258.645348614181	123.862122049633	193.175701448856	203.998026849746
"ENSG00000001460"	"STPG1"	"1"	24683489	24743424	-1	"protein_coding"	376.543750472881	418.888795128509	270.212757038244	381.150172350799	391.560193716338
"ENSG00000001461"	"NIPAL3"	"1"	24742284	24799466	1	"protein_coding"	410.649727272473	362.42469188039	373.805513933277	414.524326284006	441.834588958929
"ENSG00000001497"	"LAS1L"	"X"	64732462	64754655	-1	"protein_coding"	877.989890335157	729.283969411218	1376.04369281536	742.821092260344	612.960895842366
"ENSG00000001617"	"SEMA3F"	"3"	50192478	50226508	1	"protein_coding"	109.444510178887	109.041451634867	195.415354664818	110.473499569503	94.7478987264225
"ENSG00000001629"	"ANKIB1"	"7"	91875548	92030698	1	"protein_coding"	322.346129245268	326.330956419734	163.03862028329	301.523813153318	289.077772644901
"ENSG00000001630"	"CYP51A1"	"7"	91741465	91772266	-1	"protein_coding"	41.0951502571845	42.8422101017532	87.6183692385727	42.6275334617161	38.6726117250704
"ENSG00000001631"	"KRIT1"	"7"	91828283	91875480	-1	"protein_coding"	305.070956983681	360.909492408527	150.126904451216	320.947829355138	366.422996095042
"ENSG00000002016"	"RAD52"	"12"	1021243	1099219	-1	"protein_coding"	186.085347374241	210.969208102593	206.367775516091	172.517703043904	168.225861004056
"ENSG00000002330"	"BAD"	"11"	64037302	64052176	-1	"protein_coding"	172.959750449837	171.503395337661	361.503255103667	174.046371737961	151.790001020901
"ENSG00000002549"	"LAP3"	"4"	17578815	17609595	1	"protein_coding"	435.802808438821	316.398305771313	348.254329169913	415.194786988182	476.639939511493
"ENSG00000002586"	"CD99"	"X"	2609220	2659350	1	"protein_coding"	1795.33728218991	1429.11263623911	1837.79139442007	1599.14010344812	2055.44931318749
"ENSG00000002746"	"HECW1"	"7"	43152198	43605600	1	"protein_coding"	16.0692089617908	15.8728247042465	31.9095978780594	9.78017008178992	10.6349682243944
"ENSG00000002822"	"MAD1L1"	"7"	1855429	2272878	-1	"protein_coding"	401.42969239491	370.880587322847	703.022783622345	360.786860436771	354.821212577521
"ENSG00000002834"	"LASP1"	"17"	37026112	37078023	1	"protein_coding"	247.495622446661	272.594018020692	260.480247763518	257.971676357664	254.272422092338
"ENSG00000002919"	"SNX11"	"17"	46180719	46200436	1	"protein_coding"	96.1044556693206	100.326057397589	205.238612906473	85.3029569737304	94.7478987264225
"ENSG00000003056"	"M6PR"	"12"	9092959	9102551	-1	"protein_coding"	521.450466576088	509.647422403722	364.812388062804	566.494503401824	593.624589979831
"ENSG00000003096"	"KLHL13"	"X"	117031776	117251303	-1	"protein_coding"	101.994272794941	106.420008517013	70.307535272603	97.9121732967657	100.548790485183
"ENSG00000003137"	"CYP26B1"	"2"	72356367	72375167	-1	"protein_coding"	33.7553565414226	38.0178907583928	74.7974023734267	35.9637499229613	23.2035670350422
"ENSG00000003147"	"ICA1"	"7"	8152814	8302317	-1	"protein_coding"	111.745993110298	114.332393202949	49.220431844029	107.684997189421	92.8142681401689
"ENSG00000003249"	"DBNDD1"	"16"	90071273	90086536	-1	"protein_coding"	153.185333874446	194.6009279742	247.879956267089	157.573033360876	138.254586917127
"ENSG00000003393"	"ALS2"	"2"	202565277	202645912	-1	"protein_coding"	439.825243905051	478.272284555202	298.787436191133	436.331685896117	461.170894821465
"ENSG00000003400"	"CASP10"	"2"	202047604	202094129	1	"protein_coding"	238.221662260429	256.538583053423	232.411882548957	205.906549355381	192.396243332225
"ENSG00000003402"	"CFLAR"	"2"	201980827	202041410	1	"protein_coding"	316.456312119648	304.604457257935	289.742738788591	300.057726887829	263.940575023605
"ENSG00000003436"	"TFPI"	"2"	188328957	188430487	-1	"protein_coding"	192.125430324791	204.629689287369	93.1074725472267	234.576598896575	234.936116229803
"ENSG00000003509"	"NDUFAF7"	"2"	37458774	37480546	1	"protein_coding"	258.169470614725	231.714407482574	74.7974023734267	239.472263489781	233.969300936676
"ENSG00000003756"	"RBM5"	"3"	50126341	50156454	1	"protein_coding"	1200.40280439151	1024.86018727075	1239.26985493366	1019.45789020419	1171.78013526963
"ENSG00000003987"	"MTMR7"	"8"	17155539	17271037	-1	"protein_coding"	33.144026790139	43.9292316147941	17.3108339659696	37.7650665405377	38.6726117250704
