ORF1, ORF1, L1RE1	ORF2	HAX1	IPO7	TUBB	HSP90AA1	HSP90AB1	PARP1	HSPA1A, HSPA1B	HSPA8	TOP1	PABPC1	PCNA	NAP1L1	UBB, UBC, RPS27A, UBA52	TUBB4B	PURA	FKBP4	PABPC4	UPF1	HMCES	PURB	ZCCHC3	MOV10	HIST1H2BJ, HIST1H2BO, HIST1H2BB, HIST2H2BE	TROVE2	DDX6	YME1L1	NAP1L4	LARP7	MEPCE	Genes
0	0.746	0.8852	0.8851	0.76147	0.79774	0.78842	0.81472	0.82133	0.81269	0.92864	0.54262	0.9066	0.88765	0.78086	0.76244	0.88858	0.87975	0.55479	0.61644	0.89154	0.91148	0.67084	0.61978	0.84299	0.8675	0.8914	0.8752	0.88603	0.87305	0.84734	ORF1, ORF1, L1RE1
0.746	0	0.80984	0.77666	0.57246	0.67235	0.65241	0.75493	0.73393	0.7276	0.8771	0.67348	0.83129	0.78221	0.63229	0.5727	0.80679	0.81585	0.66494	0.61931	0.86003	0.83917	0.58982	0.69909	0.80237	0.83285	0.87877	0.83498	0.81725	0.8305	0.83334	ORF2
0.8852	0.80984	0	0.47059	0.73937	0.77925	0.78098	0.83498	0.81186	0.81111	0.8517	0.86667	0.71855	0.5432	0.81101	0.75564	0.7669	0.64106	0.86436	0.83192	0.83479	0.71708	0.82893	0.85882	0.86975	0.75275	0.83394	0.70755	0.76393	0.96043	1	HAX1
0.8851	0.77666	0.47059	0	0.69367	0.71933	0.70748	0.80866	0.85544	0.85745	0.81283	0.86242	0.65815	0.4008	0.77678	0.68586	0.72833	0.63012	0.85906	0.82395	0.78619	0.64702	0.82372	0.86214	0.82987	0.7406	0.79274	0.74232	0.6641	0.93354	1	IPO7
0.76147	0.57246	0.73937	0.69367	0	0.57386	0.47605	0.75216	0.62598	0.62508	0.90895	0.70137	0.86689	0.74818	0.61171	0.12176	0.83328	0.71292	0.69818	0.63098	0.87612	0.86827	0.64696	0.72528	0.77957	0.78541	0.85021	0.77763	0.77955	0.78006	0.74648	TUBB
0.79774	0.67235	0.77925	0.71933	0.57386	0	0.41123	0.6983	0.72224	0.72973	0.88227	0.75725	0.83107	0.70793	0.58098	0.55859	0.78964	0.73928	0.75193	0.69345	0.83874	0.82623	0.70757	0.77645	0.77536	0.82978	0.8335	0.83442	0.72865	0.77316	0.83042	HSP90AA1
0.78842	0.65241	0.78098	0.70748	0.47605	0.41123	0	0.70282	0.6854	0.69295	0.88836	0.7405	0.84003	0.70066	0.55739	0.46187	0.79926	0.73394	0.73611	0.66917	0.84803	0.83727	0.69143	0.75802	0.76242	0.82781	0.82195	0.82868	0.70194	0.74558	0.76787	HSP90AB1
0.81472	0.75493	0.83498	0.80866	0.75216	0.6983	0.70282	0	0.84174	0.84199	0.72498	0.77831	0.71717	0.80781	0.58904	0.74877	0.69415	0.84924	0.77103	0.72807	0.78212	0.72667	0.74349	0.78142	0.79785	0.87695	0.85275	0.87808	0.8454	0.76055	0.82214	PARP1
0.82133	0.73393	0.81186	0.85544	0.62598	0.72224	0.6854	0.84174	0	0.18306	0.96531	0.78851	0.9283	0.86241	0.75566	0.63163	0.89737	0.84576	0.78934	0.75006	0.94139	0.92831	0.75652	0.78369	0.85386	0.88603	0.92084	0.88395	0.90289	0.79868	0.67255	HSPA1A, HSPA1B
0.81269	0.7276	0.81111	0.85745	0.62508	0.72973	0.69295	0.84199	0.18306	0	0.96513	0.77887	0.92889	0.86632	0.7554	0.63271	0.8988	0.84606	0.78013	0.74175	0.94336	0.9299	0.74614	0.77307	0.85699	0.88867	0.91656	0.87918	0.90658	0.80539	0.66967	HSPA8
0.92864	0.8771	0.8517	0.81283	0.90895	0.88227	0.88836	0.72498	0.96531	0.96513	0	0.9107	0.63397	0.8172	0.82399	0.90709	0.71712	0.8781	0.90585	0.8859	0.78366	0.67508	0.87633	0.90844	0.85675	0.81202	0.83488	0.79715	0.70405	0.73043	1	TOP1
