"ensembl_gene_id"	"hgnc_symbol"	"chromosome_name"	"start_position"	"end_position"	"strand"	"gene_biotype"	"2_401_Inp_10_11_S1"	"2_567_Elu_10_16_S8"	"3_401_Sup_10_11_S2"	"4_401_Elu_10_11_S3"	"4_624_Elu_10_16_S9"	"6_401_Inp_10_12_S4"	"6_567_Elu_10_10_S7"	"7_401_Sup_10_12_S5"	"8_401_Elu_10_12_S6"
"ENSG00000000003"	"TSPAN6"	"X"	99883667	99894988	-1	"protein_coding"	8.80933707496246	8.70173603121502	8.78755544712703	8.74775521867216	9.04416003062291	8.47028734122141	8.82983037201353	8.58425612661744	8.7734795280228
"ENSG00000000419"	"DPM1"	"20"	49551404	49575092	-1	"protein_coding"	9.19168151471825	9.26440657592207	8.15708175582804	8.88168541165206	9.09605792801398	8.89820702557821	9.31625072906345	8.14589531507554	9.04891760206219
"ENSG00000000457"	"SCYL3"	"1"	169818772	169863408	-1	"protein_coding"	7.75188348054989	7.89512968135443	6.54605245862305	7.74130552460663	7.84633800897506	7.68513639645329	8.06817204688678	6.9574323526165	7.69367945492189
"ENSG00000000460"	"C1orf112"	"1"	169631245	169823221	1	"protein_coding"	7.54870147633906	7.98299730232574	6.97092028182837	7.386262320691	7.67946621332113	7.46144491082434	8.05685467756843	6.9574323526165	7.7882617796341
"ENSG00000001460"	"STPG1"	"1"	24683489	24743424	-1	"protein_coding"	8.61464825984021	8.66804735569876	8.13899838430019	8.56719528172131	8.61677007821915	8.50423994216946	8.75826927968487	8.02532552591929	8.58871620281261
"ENSG00000001461"	"NIPAL3"	"1"	24742284	24799466	1	"protein_coding"	8.80583043437471	8.51643829331887	8.2941257380814	8.73134318502323	8.79062410243307	8.55371607791897	8.4945035990288	8.76725337898393	8.66548350885571
"ENSG00000001497"	"LAS1L"	"X"	64732462	64754655	-1	"protein_coding"	9.77043428910705	9.566186806607	10.5453019100163	9.55786549297852	9.2620029607271	9.78891207054925	9.45635067403137	10.2989078449901	9.51950319076112
"ENSG00000001617"	"SEMA3F"	"3"	50192478	50226508	1	"protein_coding"	6.35036731293361	6.86198430023243	7.67008162947084	6.75454378275511	6.58116892103478	7.12201384402105	6.69711450288028	7.56347731561296	6.84514786423665
"ENSG00000001629"	"ANKIB1"	"7"	91875548	92030698	1	"protein_coding"	8.38483340041279	8.30865127613993	7.39328681490917	8.28181594905218	8.1802959423133	8.28739266638508	8.39914244617779	7.321606321366	8.19879977428018
"ENSG00000001630"	"CYP51A1"	"7"	91741465	91772266	-1	"protein_coding"	4.92625693424337	5.41427681218162	6.24160141706349	5.57530272206779	5.31007147091302	5.74912858655794	5.49314275012036	6.66632006097785	5.30653146129198
