Genes	Uniprot	Protein	Tandem_Exp1_affinity	Tandem_Exp2_affinity	RNAse_Exp1_affinity	RNAse_Exp2_affinity	RT_Exp1_affinity	RT_Exp2_affinity	RT_Exp3_affinity	EN_Exp1_affinity	EN_Exp2_affinity	EN_Exp3_affinity	Exchange_0_point	Exchange_30_seconds	Exchange_5_minutes	Exchange_30_minutes	Cluster	Color
PABPC4	Q13310	Polyadenylate-binding protein 4	0.672753452451077	0.783048564671981	0.367472927841312	0.582652115901159	0.384887926580223	0.388865122532543	0.347582139408648	0.591469891330991	0.610394670199088	0.603709281128636	0.912724733810438	0.886627742191486	0.839080829699242	0.725191678804034	1	orange
UPF1	Q92900	Regulator of nonsense transcripts 1	0.438861112513958	0.635150498910717	0.521965677135618	0.795633563006222	0.459351329725404	0.462131358279681	0.412107067060947	0.578325954037529	0.581327192798828	0.585492227979275	0.913882190837065	0.877758083246745	0.812502343720704	0.584665863687336	1	orange
MOV10	Q9HCE1	Putative helicase MOV-10	NA	0.842800795603951	0.633820352264821	0.870488692351886	0.341294882519942	0.360572926657715	0.317140457379322	0.632244777875846	0.683404039764453	0.67875614378875	0.902126784962759	0.927272727272727	0.794614800057508	0.573996762375394	1	orange
ZCCHC3	Q9NUD5	Zinc finger CCHC domain-containing protein 3	0.277879275857338	0.4694174529409	0.6548629806033	0.810911626850906	0.430546618301093	0.389715485359274	0.412141626839262	0.651968120279818	0.648802416239376	0.636495819701927	0.858900553109832	0.873867964985747	0.814601950387482	0.72083414756707	1	orange
PABPC1	P11940	Polyadenylate-binding protein 1	0.698040281426458	0.781793590856142	0.381677878907796	0.578830992926685	0.367144683382485	0.363247944882742	0.328836538138864	0.586246845132194	0.599246583577125	0.594649371706526	0.914784831700043	0.892178638431846	0.856146155506006	0.714228559997714	1	orange
ORF1, ORF1, L1RE1	Orf1-untagged(native):, Orf1-untagged(optimized):, Q9UN81	LINE-1 retrotransposable element ORF1 protein	0.914442162902122	0.979395477935199	0.74441547819864	0.845673113514702	0.353771390166985	0.343780350158805	0.325632051359863	0.630286897367643	0.655540628982812	0.656357388316151	0.914368898784038	0.953432057371705	0.897591348517123	0.802258211227779	1	orange
FKBP4	Q02790	Peptidyl-prolyl cis-trans isomerase FKBP4	0.263693460861626	0.286960514233242	0.422999249899025	0.535099876391929	NA	0.48805897560601	0.462521633504251	0.287881161608249	0.314894870617896	0.277879275857338	NA	NA	NA	NA	2	lightblue
HAX1	O00165	HCLS1-associated protein X-1	0.134349030470914	0.17307625739901	0.352629296113834	0.543685097591475	0.358571410244897	0.367464925930143	0.331161838769873	0.311920292846723	0.324484074712061	0.317368866559266	NA	NA	NA	NA	2	lightblue
YME1L1	Q96TA2	ATP-dependent zinc metalloprotease YME1L1	NA	NA	NA	NA	NA	0.360728258368067	0.350180974598574	0.426845414476739	0.337116190274169	0.342472959200447	NA	NA	NA	NA	2	lightblue
NAP1L4	Q99733	Nucleosome assembly protein 1-like 4	NA	NA	NA	NA	0.46492016608878	0.538638985005767	0.569910971571115	0.350383598485095	0.379421620950726	0.349788030898073	NA	NA	NA	NA	2	lightblue
IPO7	O95373	Importin-7	0.19136376501031	0.190625059570331	0.383416366595965	0.53043362949211	0.507680189050807	0.489946852462027	0.457997517628631	0.349475026346261	0.383005503590908	0.388667110901899	NA	NA	NA	NA	2	lightblue
TROVE2	P10155	60 kDa SS-A/Ro ribonucleoprotein	NA	NA	NA	NA	0.466478867227931	0.341602802138474	0.369423337642274	0.275141709795735	0.490227664325112	NA	NA	NA	NA	NA	2	lightblue
DDX6	P26196	Probable ATP-dependent RNA helicase DDX6	NA	NA	NA	NA	NA	0.600111968648778	NA	0.523650740723098	0.479131399521843	0.455147763926423	NA	NA	NA	0.283703539220813	2	lightblue
NAP1L1	P55209	Nucleosome assembly protein 1-like 1	0.201794366264637	0.247157686604053	0.305512150064935	0.60877982260156	0.538638985005767	0.553909979033769	0.525008312354534	0.34445143696245	0.358925045516322	0.354230436411071	NA	NA	NA	NA	2	lightblue
LARP7	Q4G0J3	La-related protein 7	NA	NA	NA	NA	NA	0.822572346125867	NA	NA	NA	NA	0.860929546908464	0.811722177244742	0.643112062812277	0.399186498518995	3	green
HMCES	Q96FZ2	Embryonic stem cell-specific 5-hydroxymethylcytosine-binding protein	0.542919828137855	0.523683590374696	0.341849796960662	NA	0.759563367074607	0.799791783454793	0.715691012992921	NA	0.563566534281849	0.580941206051209	NA	NA	NA	NA	3	green
PURB	Q96QR8	Transcriptional activator protein Pur-beta	0.0860092696939868	0.205212394828648	0.331564206600135	0.621643127113587	0.811074795488466	0.829957999625908	0.836931706998891	0.690861877086682	0.682952347737865	0.619149179266481	NA	NA	NA	NA	3	green
PARP1	P09874	Poly [ADP-ribose] polymerase 1	0.354330505300947	0.350262697022767	0.340243186361507	0.585086153936167	0.829752460076952	0.824330259112868	0.839360010280959	0.785426143678654	0.790224459827984	0.793443909693677	0.892082060800967	0.80686778168334	0.558498896247241	0.23942226515261	3	green
TOP1	P11387	DNA topoisomerase 1	0.168765533694089	0.207550694257072	NA	NA	0.814226532166676	0.791096534291504	0.821594233925641	0.816936989711859	0.848178905977196	0.914022869916602	NA	NA	NA	NA	3	green
PCNA	P12004	Proliferating cell nuclear antigen	0.0992451674503234	0.191923844618455	0.327907304975502	0.575066276388354	0.745196962747796	0.759909726056997	0.765582878173422	0.725455743465847	0.717434303475558	0.721293199554069	NA	NA	NA	NA	3	green
PURA	Q00577	Transcriptional activator protein Pur-alpha	0.0853128687332498	0.192678227360308	0.323176468199446	0.618965090368903	0.759961593855017	0.790808108277723	0.771736401196101	0.661005457812129	0.648073200774239	0.670651780127128	NA	0.702168215391947	NA	NA	3	green
MEPCE	Q7L2J0	7SK snRNA methylphosphate capping enzyme	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.988806304289424	0.972663404499604	0.707354189224781	0.381601405001608	4	yellow
HSPA1A, HSPA1B	P0DMV8, P0DMV9	Heat shock 70 kDa protein 1A, Heat shock 70 kDa protein 1B	0.113640191099175	0.130125310674179	0.341685154341916	0.598325884176075	0.248199437653179	0.245522174103303	0.217123083908748	0.150800794850456	0.161566194348956	0.137194674765533	0.915916925922812	0.855210957634726	0.657358231968477	0.363592393656289	4	yellow
HSPA8	P11142	Heat shock cognate 71 kDa protein	0.11878745153331	0.147566626331789	0.35571576756802	0.58021131296018	0.215901517230564	0.213558255672211	0.183133337145378	0.180811324464251	0.191906131816272	0.164166130339934	0.911699779249448	0.85698758652251	0.661315450789135	0.376659643698652	4	yellow
HIST1H2BJ, HIST1H2BO, HIST1H2BB, HIST2H2BE	P06899, P23527, P33778, Q16778	Histone H2B type 1-J, Histone H2B type 1-O, Histone H2B type 1-B, Histone H2B type 2-E	NA	NA	0.440399778398312	NA	0.550844412504492	0.550400143871954	0.588781972201661	NA	NA	0.729992439788314	NA	0.856780716955731	0.686067683807371	0.418726313097259	5	blue
TUBB	P07437	Tubulin beta chain	0.242756970422087	0.230850916478138	0.389488207964737	0.521417211982168	0.455992514456999	0.453426469462937	0.401323076002035	0.316491688538933	0.36394051571703	0.341077864828713	0.865598623729907	0.846137276322065	0.784673025989966	0.504754358161648	6	red
HSP90AA1	P07900	Heat shock protein HSP 90-alpha	0.281640159188541	0.159144439493284	0.392584673696487	0.520958146222532	0.570760183714641	0.605647133054657	0.580941206051209	0.307292135687616	0.34343566982693	0.31192502735098	0.734289889730304	0.683684443600936	0.535618092319123	0.44264232128326	6	red
HSP90AB1	P08238	Heat shock protein HSP 90-beta	0.271460939378265	0.184392978315386	0.393417365247668	0.527852116950915	0.541998717596409	0.583645599133983	0.5523323484645	0.328128569316975	0.360065529289801	0.332099944564295	0.829053984751615	0.801893894369825	0.683163297636398	0.371598778388025	6	red
ORF2	O00370		0.201328988563031	0.33000033000033	0.344704887846242	0.595032667293434	0.495949957911821	0.508671940254508	0.455844502124927	0.531659797677033	0.541368556228215	0.513500364874726	0.910047674732392	0.910594546267322	0.907780554607745	0.907515306216821	6	red
UBB, UBC, RPS27A, UBA52	P0CG47, P0CG48, P62979, P62987	Polyubiquitin-B [Cleaved into: Ubiquitin], Polyubiquitin-C [Cleaved into: Ubiquitin], Ubiquitin-40S ribosomal protein S27a, Ubiquitin-60S ribosomal protein L40	0.184937647730051	0.273560388455752	0.368252143204604	0.623006379585327	0.611091665694396	0.642563534331773	0.61520701862398	0.554902746250056	0.612207701555047	0.592767551718521	0.9280420234583	0.843451579573562	0.639938069347928	0.428812959091584	6	red
TUBB4B	P68371	Tubulin beta-4B chain	0.258721145720597	0.237006138458986	0.393004989498986	0.527245406374397	0.476181995327543	0.481357391435136	0.427894709742381	0.31525140544649	0.365888611993583	0.334358421364432	0.90543914063091	0.871847447201148	0.752683385269822	0.534948611821606	6	red
