Genes	Uniprot	Protein	Color	RT_Exp1_affinity	RT_Exp2_affinity	RT_Exp3_affinity	EN_Exp1_affinity	EN_Exp2_affinity	EN_Exp3_affinity	RT_Avg_affinity	ENDO_Avg_affinity	Adjusted_P-value	RT_vs_WT_Adjusted_P-value	EN_vs_WT_Adjusted_P-value
TOP1	P11387	DNA topoisomerase 1	green	0.818277	0.782425	0.86575	0.785277	0.80681	0.900523	0.17785	0.16913	0.882525208422634	0.010326	0.018598
TROVE2	P10155	60 kDa SS-A/Ro ribonucleoprotein	green	0.470529	0.332931	0.413579	0.243482	0.448859	NA	0.59432	0.653829	0.71980733354797	0.160454	0.37472
YME1L1	Q96TA2	ATP-dependent zinc metalloprotease YME1L1	green	NA	0.352056	0.394336	0.395186	0.295748	0.328973	0.626804	0.660031	0.478040723344795	0.124292	0.036615
PCNA	P12004	Proliferating cell nuclear antigen	pink	0.749247	0.751238	0.809738	0.693796	0.676066	0.707793	0.229926	0.307448	0.049510004255058	0.010326	0.005649
NAP1L4	Q99733	Nucleosome assembly protein 1-like 4	pink	0.46897	0.529967	0.614066	0.318724	0.338053	0.336288	0.462332	0.668978	0.045070417679493	0.503761	0.004853
PARP1	P09874	Poly [ADP-ribose] polymerase 1	pink	0.833803	0.815658	0.883516	0.753766	0.748856	0.779944	0.155675	0.239145	0.045070417679493	0.009932	0.004853
HMCES	Q96FZ2	Embryonic stem cell-specific 5-hydroxymethylcytosine-binding protein	pink	0.763613	0.79112	0.759847	NA	0.522198	0.567441	0.228473	0.455181	0.044044611136646	0.00598	0.309473
UBB, UBC, RPS27A, UBA52	P0CG47, P0CG48, P62979, P62987	Polyubiquitin-B [Cleaved into: Ubiquitin], Polyubiquitin-C [Cleaved into: Ubiquitin], Ubiquitin-40S ribosomal protein S27a, Ubiquitin-60S ribosomal protein L40	pink	0.615142	0.633892	0.659363	0.523243	0.570839	0.579267	0.363868	0.442217	0.036744717882639	0.015149	0.08697
FKBP4	Q02790	Peptidyl-prolyl cis-trans isomerase FKBP4	pink	NA	0.479387	0.506677	0.256221	0.273526	0.264379	0.506968	0.735291	0.0307020546730336	0.727407	0.0039
ZCCHC3	Q9NUD5	Zinc finger CCHC domain-containing protein 3	pink	0.434597	0.381044	0.456297	0.620308	0.607434	0.622995	0.576021	0.383087	0.0166680056218496	0.094974	0.004853
HSPA8	P11142	Heat shock cognate 71 kDa protein	pink	0.219952	0.204886	0.227289	0.149152	0.150538	0.150666	0.782624	0.849882	0.015502863851433	0.00598	0
UPF1	Q92900	Regulator of nonsense transcripts 1	pink	0.463401	0.453459	0.456263	0.546666	0.539959	0.571992	0.542292	0.447128	0.0115461948927254	0.010326	0.036615
TUBB	P07437	Tubulin beta chain	pink	0.460043	0.444755	0.445479	0.284832	0.322572	0.327577	0.549908	0.68834	0.00922211579378535	0.015941	0.01018
TUBB4B	P68371	Tubulin beta-4B chain	pink	0.480232	0.472685	0.47205	0.283592	0.32452	0.320858	0.525011	0.690343	0.00922211579378535	0.016609	0.010162
IPO7	O95373	Importin-7	pink	0.51173	0.481275	0.502153	0.317815	0.341637	0.375167	0.501614	0.655127	0.00800802709227147	0.87408	0.018598
MOV10	Q9HCE1	Putative helicase MOV-10	pink	0.345345	0.351901	0.361296	0.600585	0.642035	0.665256	0.647153	0.364041	0.00716220502833466	0.00598	0.023289
HSPA1A, HSPA1B	P0DMV8, P0DMV9	Heat shock 70 kDa protein 1A, Heat shock 70 kDa protein 1B	pink	0.252249	0.23685	0.261279	0.119141	0.120198	0.123694	0.749874	0.878989	0.00612466145083395	0.00598	0.00013
HAX1	O00165	HCLS1-associated protein X-1	pink	0.362621	0.358793	0.375317	0.28026	0.283116	0.303869	0.634423	0.710918	0.00607936244838309	0.00598	0.004853
PURB	Q96QR8	Transcriptional activator protein Pur-beta	pink	0.815125	0.821286	0.881087	0.659202	0.641584	0.605649	0.160834	0.364522	0.00607936244838309	0.009932	0.019153
PURA	Q00577	Transcriptional activator protein Pur-alpha	pink	0.764012	0.782136	0.815892	0.629346	0.606705	0.657151	0.212653	0.368933	0.00607936244838309	0.009068	0.018598
PABPC4	Q13310	Polyadenylate-binding protein 4	pink	0.388938	0.380193	0.391738	0.55981	0.569026	0.590209	0.613044	0.426985	0.00328442029532755	0.00598	0.020321
HSP90AB1	P08238	Heat shock protein HSP 90-beta	pink	0.546049	0.574974	0.596488	0.296469	0.318697	0.3186	0.427497	0.688745	0.00311214721519353	0.04979	0.004853
HSP90AA1	P07900	Heat shock protein HSP 90-alpha	pink	0.57481	0.596975	0.625097	0.275632	0.302067	0.298425	0.401039	0.707959	0.00170124678125765	0.030247	0.004853
PABPC1	P11940	Polyadenylate-binding protein 1	pink	0.371195	0.354576	0.372992	0.554587	0.557878	0.581149	0.633746	0.435462	0.00114565944077741	0.007131	0.021281
ORF1, ORF1, L1RE1	Orf1-untagged(native):, Orf1-untagged(optimized):, Q9UN81	LINE-1 retrotransposable element ORF1 protein	pink	0.357821	0.335108	0.369788	0.598627	0.614172	0.642857	0.645761	0.381448	0.00114565944077741	0.010326	0.018598
NAP1L1	P55209	Nucleosome assembly protein 1-like 1	pink	0.542689	0.545238	0.569164	0.312792	0.317556	0.34073	0.447636	0.676307	0.00114565944077741	0.034156	0.005649
HNRNPU	Q00839	Heterogeneous nuclear ribonucleoprotein U	grey	0.44937	0.440078	0.457683	0.430055	0.450868	0.453797	NA	NA	NA	NA	NA
XPC	Q01831	DNA repair protein complementing XP-C cells	grey	0.694088	0.573757	0.572613	0.573645	0.58013	0.558454	NA	NA	NA	NA	NA
DSG1	Q02413	Desmoglein-1	grey	0.06089	NA	0.471785	0.189494	0.244754	NA	NA	NA	NA	NA	NA
RPL18A	Q02543	60S ribosomal protein L18a	grey	0.355432	0.365432	0.384764	0.620429	0.62332	0.650309	NA	NA	NA	NA	NA
RPL6	Q02878	60S ribosomal protein L6	grey	0.358785	0.360322	0.404205	0.614583	0.636176	0.662466	NA	NA	NA	NA	NA
TOP2B	Q02880	DNA topoisomerase 2-beta	grey	0.405853	0.486303	0.410169	0.324334	0.367615	0.352698	NA	NA	NA	NA	NA
SLC25A11	Q02978	Mitochondrial 2-oxoglutarate/malate carrier protein	grey	0.286293	0.324759	0.337886	0.226104	0.276991	0.314484	NA	NA	NA	NA	NA
CEBPZ	Q03701	CCAAT/enhancer-binding protein zeta	grey	0.338404	0.360732	0.559095	0.51057	0.50522	0.676557	NA	NA	NA	NA	NA
EIF4G1	Q04637	Eukaryotic translation initiation factor 4 gamma 1	grey	NA	0.550392	0.730479	0.482644	0.495797	0.559624	NA	NA	NA	NA	NA
SSBP1	Q04837	Single-stranded DNA-binding protein, mitochondrial	grey	0.702891	0.66699	0.738495	0.451234	0.478347	0.522957	NA	NA	NA	NA	NA
PRDX1	Q06830	Peroxiredoxin-1	grey	0.579728	0.621163	0.616458	0.350331	0.407974	0.430168	NA	NA	NA	NA	NA
RPL18	Q07020	60S ribosomal protein L18	grey	0.356117	0.346125	0.396412	0.597682	0.621954	0.639482	NA	NA	NA	NA	NA
C1QBP	Q07021	Complement component 1 Q subcomponent-binding protein, mitochondrial	grey	0.316065	0.356428	0.40718	0.307829	0.313145	0.291814	NA	NA	NA	NA	NA
KHDRBS1	Q07666	KH domain-containing, RNA-binding, signal transduction-associated protein 1	grey	NA	0.530753	0.562738	NA	0.454136	0.475022	NA	NA	NA	NA	NA
DHX9	Q08211	ATP-dependent RNA helicase A	grey	0.57385	0.575337	0.58718	0.458918	0.491996	0.488863	NA	NA	NA	NA	NA
SSRP1	Q08945	FACT complex subunit SSRP1	grey	0.579223	0.54836	0.586511	0.529031	0.509415	0.532759	NA	NA	NA	NA	NA
RBBP4	Q09028	Histone-binding protein RBBP4	grey	0.584217	0.586503	0.650098	0.376953	0.360889	0.386177	NA	NA	NA	NA	NA
NCBP1	Q09161	Nuclear cap-binding protein subunit 1	grey	0.288584	0.233005	0.286074	0.46844	0.51	0.537203	NA	NA	NA	NA	NA
NUP160	Q12769	Nuclear pore complex protein Nup160	grey	0.427019	0.471467	0.414734	0.402201	0.34565	0.41443	NA	NA	NA	NA	NA
TBL3	Q12788	Transducin beta-like protein 3	grey	0.485706	0.49255	0.511972	0.630936	0.57004	0.74268	NA	NA	NA	NA	NA
TRAP1	Q12931	Heat shock protein 75 kDa, mitochondrial	grey	NA	0.470972	0.389949	0.223445	0.266963	0.242219	NA	NA	NA	NA	NA
TARDBP	Q13148	TAR DNA-binding protein 43	grey	0.682383	0.612354	0.723293	0.655135	0.617055	0.710706	NA	NA	NA	NA	NA
PSMD2	Q13200	26S proteasome non-ATPase regulatory subunit 2	grey	0.576133	0.516178	0.583538	0.348712	0.347616	0.365659	NA	NA	NA	NA	NA
G3BP1	Q13283	Ras GTPase-activating protein-binding protein 1	grey	0.622952	0.612411	NA	0.527831	0.55696	0.532738	NA	NA	NA	NA	NA
DYNC1I2	Q13409	Cytoplasmic dynein 1 intermediate chain 2	grey	NA	0.406215	0.295793	0.338907	0.389178	0.310449	NA	NA	NA	NA	NA
TRA2A	Q13595	Transformer-2 protein homolog alpha	grey	0.291139	0.262672	0.250322	0.529648	0.571889	0.540807	NA	NA	NA	NA	NA
KRR1	Q13601	KRR1 small subunit processome component homolog	grey	0.38632	0.367058	0.395357	0.609969	0.654449	0.680418	NA	NA	NA	NA	NA
DDX39B	Q13838	Spliceosome RNA helicase DDX39B	grey	0.434953	0.394327	0.437856	0.610302	0.627834	0.635364	NA	NA	NA	NA	NA
HNRNPD	Q14103	Heterogeneous nuclear ribonucleoprotein D0	grey	0.522818	0.528301	0.528545	0.595998	0.592559	0.544491	NA	NA	NA	NA	NA
BOP1	Q14137	Ribosome biogenesis protein BOP1	grey	0.393102	0.381178	0.480693	0.584772	0.671432	0.676988	NA	NA	NA	NA	NA
EIF3A	Q14152	Eukaryotic translation initiation factor 3 subunit A	grey	0.559586	0.529946	0.463432	0.373031	0.39083	0.418182	NA	NA	NA	NA	NA
UBAP2L	Q14157	Ubiquitin-associated protein 2-like	grey	0.585832	0.426688	0.485911	0.51015	0.476773	0.434988	NA	NA	NA	NA	NA
DYNC1H1	Q14204	Cytoplasmic dynein 1 heavy chain 1	grey	0.373469	0.375724	0.391393	0.27858	0.315648	0.304073	NA	NA	NA	NA	NA
RCN2	Q14257	Reticulocalbin-2	grey	0.203583	0.201663	0.229452	0.179124	0.193872	0.198602	NA	NA	NA	NA	NA
RBM39	Q14498	RNA-binding protein 39	grey	0.407509	0.401657	0.409053	0.340712	0.372107	0.375846	NA	NA	NA	NA	NA
SMC1A	Q14683	Structural maintenance of chromosomes protein 1A	grey	0.636078	0.440428	0.447426	0.386393	0.404394	0.402827	NA	NA	NA	NA	NA
BMS1	Q14692	Ribosome biogenesis protein BMS1 homolog	grey	0.439534	0.425976	0.434511	0.67487	0.674452	0.675283	NA	NA	NA	NA	NA
GANAB	Q14697	Neutral alpha-glucosidase AB	grey	0.599388	0.640475	0.607531	0.32428	0.360949	0.358962	NA	NA	NA	NA	NA
CHD4	Q14839	Chromodomain-helicase-DNA-binding protein 4	grey	0.337637	0.421771	0.444649	0.343383	0.383849	0.362389	NA	NA	NA	NA	NA
KPNB1	Q14974	Importin subunit beta-1	grey	0.405104	0.383916	0.414722	0.293672	0.326256	0.344066	NA	NA	NA	NA	NA
NCAPH	Q15003	Condensin complex subunit 2	grey	0.311328	0.427347	0.467331	0.228865	0.32624	0.359819	NA	NA	NA	NA	NA
SART3	Q15020	Squamous cell carcinoma antigen recognized by T-cells 3	grey	0.585675	0.511551	0.472237	0.564153	0.565704	0.557297	NA	NA	NA	NA	NA
EFTUD2	Q15029	116 kDa U5 small nuclear ribonucleoprotein component	grey	0.455422	0.470744	0.504723	0.448236	0.452635	0.464699	NA	NA	NA	NA	NA
RRS1	Q15050	Ribosome biogenesis regulatory protein homolog	grey	0.295011	0.325443	0.33479	0.576629	0.649665	0.556799	NA	NA	NA	NA	NA
WDR43	Q15061	WD repeat-containing protein 43	grey	0.47179	0.435281	0.481333	0.573536	0.657018	0.673079	NA	NA	NA	NA	NA
PDIA6	Q15084	Protein disulfide-isomerase A6	grey	0.61899	0.603114	0.650764	0.351098	0.368911	0.34773	NA	NA	NA	NA	NA
STK38	Q15208	Serine/threonine-protein kinase 38	grey	0.492447	0.421466	0.412878	0.27558	0.333721	0.259137	NA	NA	NA	NA	NA
PWP2	Q15269	Periodic tryptophan protein 2 homolog	grey	0.483287	0.457317	0.489112	0.632635	0.601998	0.670334	NA	NA	NA	NA	NA
RCN1	Q15293	Reticulocalbin-1	grey	0.282851	0.294513	0.37827	0.278937	0.256059	0.334473	NA	NA	NA	NA	NA
PCBP1	Q15365	Poly(rC)-binding protein 1	grey	0.480103	0.645511	0.647629	0.495929	0.552771	0.575906	NA	NA	NA	NA	NA
PCBP2	Q15366	Poly(rC)-binding protein 2	grey	0.532485	0.515772	0.552658	0.53738	0.568798	0.578453	NA	NA	NA	NA	NA
SF3B3	Q15393	Splicing factor 3B subunit 3	grey	0.408056	0.455755	0.54114	0.416007	0.44283	0.45401	NA	NA	NA	NA	NA
PUM3	Q15397	Pumilio homolog 3	grey	0.44322	0.295439	0.367909	0.639663	0.695633	0.593758	NA	NA	NA	NA	NA
