"ensembl_gene_id"	"hgnc_symbol"	"chromosome_name"	"start_position"	"end_position"	"strand"	"gene_biotype"	"2_401_Inp_10_11_S1"	"2_567_Elu_10_16_S8"	"3_401_Sup_10_11_S2"	"4_401_Elu_10_11_S3"	"4_624_Elu_10_16_S9"	"6_401_Inp_10_12_S4"	"6_567_Elu_10_10_S7"	"7_401_Sup_10_12_S5"	"8_401_Elu_10_12_S6"
"ENSG00000000003"	"TSPAN6"	"X"	99883667	99894988	-1	"protein_coding"	411	389	124	441	545	335	433	118	498
"ENSG00000000419"	"DPM1"	"20"	49551404	49575092	-1	"protein_coding"	536	575	80	484	565	451	607	87	603
"ENSG00000000457"	"SCYL3"	"1"	169818772	169863408	-1	"protein_coding"	197	222	26	219	237	194	255	38	235
"ENSG00000000460"	"C1orf112"	"1"	169631245	169823221	1	"protein_coding"	171	236	35	171	211	166	253	38	251
"ENSG00000001460"	"STPG1"	"1"	24683489	24743424	-1	"protein_coding"	359	380	79	389	405	343	412	80	438
"ENSG00000001461"	"NIPAL3"	"1"	24742284	24799466	1	"protein_coding"	410	342	88	436	457	355	343	134	462
"ENSG00000001497"	"LAS1L"	"X"	64732462	64754655	-1	"protein_coding"	801	709	420	774	634	837	669	388	836
"ENSG00000001617"	"SEMA3F"	"3"	50192478	50226508	1	"protein_coding"	74	108	57	110	98	131	98	58	130
"ENSG00000001629"	"ANKIB1"	"7"	91875548	92030698	1	"protein_coding"	306	296	47	319	299	295	321	49	334
"ENSG00000001630"	"CYP51A1"	"7"	91741465	91772266	-1	"protein_coding"	27	39	21	48	40	50	42	31	44
"ENSG00000001631"	"KRIT1"	"7"	91828283	91875480	-1	"protein_coding"	283	348	37	331	379	286	334	52	365
"ENSG00000002016"	"RAD52"	"12"	1021243	1099219	-1	"protein_coding"	175	185	44	179	174	172	214	79	195
"ENSG00000002330"	"BAD"	"11"	64037302	64052176	-1	"protein_coding"	116	170	134	156	157	208	154	76	224
"ENSG00000002549"	"LAP3"	"4"	17578815	17609595	1	"protein_coding"	399	299	101	450	493	414	299	104	448
"ENSG00000002586"	"CD99"	"X"	2609220	2659350	1	"protein_coding"	1683	1299	604	1712	2126	1665	1403	471	1749
"ENSG00000002746"	"HECW1"	"7"	43152198	43605600	1	"protein_coding"	14	15	7	12	11	16	15	12	9
"ENSG00000002822"	"MAD1L1"	"7"	1855429	2272878	-1	"protein_coding"	332	349	223	394	367	418	352	189	386
"ENSG00000002834"	"LASP1"	"17"	37026112	37078023	1	"protein_coding"	249	269	79	270	263	212	246	74	289
"ENSG00000002919"	"SNX11"	"17"	46180719	46200436	1	"protein_coding"	97	74	68	97	98	82	116	52	87
"ENSG00000003056"	"M6PR"	"12"	9092959	9102551	-1	"protein_coding"	502	495	124	607	614	470	468	89	619
"ENSG00000003096"	"KLHL13"	"X"	117031776	117251303	-1	"protein_coding"	102	108	14	104	104	88	93	28	108
